fecha,CASOS,tmean,tmax,tmin,humr,ptot,month
2017-02-09,9,26.4,30.6,24.1,84.4,42.7,2
2017-02-16,18,26.4,31.2,23.1,81.8,2.9,2
2017-02-23,40,26.4,31.3,23.5,82.5,61.8,2
2017-03-02,44,26.3,31.0,23.4,84.7,89.8,3
2017-03-09,121,25.5,29.6,23.6,90.2,173.9,3
2017-03-16,189,25.6,29.5,23.2,89.2,124.4,3
2017-03-23,339,25.7,29.9,23.3,89.6,180.7,3
2017-03-30,630,25.5,29.7,23.2,88.6,149.2,3
2017-04-06,928,25.9,30.3,22.6,79.8,4.4,4
2017-04-13,1814,26.0,30.5,22.7,77.5,14.9,4
2017-04-20,2502,25.7,30.3,22.6,79.9,4.8,4
2017-04-27,2357,25.6,30.9,22.2,77.0,1.8,4
2017-05-04,3090,25.6,30.8,21.8,73.9,0.9,5
2017-05-11,2337,25.2,30.0,21.9,77.4,14.8,5
2017-05-18,1577,24.7,30.1,20.7,74.1,1.1,5
2017-05-25,933,24.1,29.7,20.2,74.0,5.6,5
2017-06-01,659,24.2,30.0,20.1,72.8,0.0,6
2017-06-08,514,23.3,29.5,19.2,72.8,0.1,6
2017-06-15,343,23.3,29.1,19.3,72.9,0.5,6
2017-06-22,293,23.0,29.2,18.9,73.3,2.8,6
2017-06-29,178,22.6,28.6,18.3,72.7,0.0,6
2017-07-06,144,22.1,28.4,17.9,74.1,0.0,7
2017-07-13,126,21.4,27.3,17.3,76.6,0.0,7
2017-07-20,92,21.2,27.7,16.8,74.9,0.0,7
2017-07-27,62,21.1,27.2,17.2,76.1,0.0,7
2017-08-03,28,21.5,27.8,17.5,75.1,0.0,8
2017-08-10,27,21.4,28.1,16.9,72.8,0.0,8
2017-08-17,23,21.4,28.0,16.7,71.5,0.1,8
2017-08-24,18,21.2,27.9,17.1,73.6,3.3,8
2017-08-31,16,21.5,28.0,17.1,72.9,1.9,8
2017-09-07,17,21.8,28.8,17.1,71.7,0.0,9
2017-09-14,15,21.5,28.4,16.9,70.7,0.0,9
2017-09-21,15,21.9,29.2,17.3,72.1,0.2,9
2017-09-28,5,22.3,29.5,17.7,71.8,0.2,9
2017-10-05,13,22.4,29.5,17.7,70.5,1.6,10
2017-10-12,11,21.8,29.0,16.9,70.1,0.0,10
2017-10-19,15,22.7,29.9,17.9,71.2,0.0,10
2017-10-26,4,22.3,29.1,18.2,74.5,1.9,10
2017-11-02,6,21.3,29.0,16.3,69.9,0.8,11
2017-11-09,3,20.1,27.5,14.9,72.4,0.0,11
2017-11-16,2,21.0,29.2,15.7,71.6,0.0,11
2017-11-23,2,21.7,28.6,16.9,72.3,1.4,11
2017-11-30,5,23.5,30.5,19.2,69.2,0.1,11
2017-12-07,3,23.9,31.2,19.3,69.9,0.1,12
2017-12-14,3,23.9,31.2,19.3,70.3,0.1,12
2017-12-21,2,24.7,31.5,20.4,69.2,0.1,12
2017-12-28,5,24.8,31.3,20.6,71.0,11.7,12
2018-01-04,8,25.0,31.8,20.7,69.5,0.1,1
2018-01-11,3,25.0,32.1,21.0,70.7,1.7,1
2018-01-18,4,25.7,32.7,21.0,64.1,6.9,1
2018-01-25,2,26.8,34.3,21.7,63.5,0.0,1
2018-02-08,1,26.5,32.0,23.0,65.0,0.1,2
2018-02-15,6,27.3,34.1,22.9,64.3,0.4,2
2018-02-22,3,27.9,34.8,23.1,60.2,1.7,2
2018-03-01,4,28.0,35.3,22.7,55.2,0.2,3
2018-03-08,4,27.8,34.9,22.3,55.1,0.2,3
2018-03-15,2,27.8,34.7,22.8,58.5,0.2,3
2018-03-22,8,27.3,34.1,22.9,62.1,0.0,3
2018-03-29,2,27.1,33.7,22.4,63.6,0.1,3
2018-04-05,4,25.6,31.6,21.9,73.9,28.2,4
2018-04-12,11,26.1,32.9,21.3,67.0,0.0,4
2018-04-19,18,26.5,33.8,21.2,60.5,0.0,4
2018-04-26,10,27.0,33.8,22.0,61.4,0.7,4
2018-05-03,1,26.7,34.0,21.8,63.7,1.6,5
2018-05-10,1,25.2,32.2,20.4,67.9,4.5,5
2018-05-17,7,24.3,30.7,19.9,69.2,1.0,5
2018-05-24,5,24.1,31.0,19.2,68.2,0.3,5
2018-05-31,1,23.3,30.4,18.4,69.0,0.0,5
2018-06-07,1,22.7,29.5,18.0,71.9,0.0,6
2018-06-14,4,22.4,28.9,18.2,71.6,0.0,6
2018-06-21,1,21.9,28.4,17.7,73.6,0.0,6
2018-06-28,1,22.0,28.6,17.6,72.5,0.1,6
2018-07-05,3,21.9,28.2,17.4,72.5,0.0,7
2018-10-18,1,22.3,29.4,18.1,70.2,0.0,10
2018-11-01,1,22.8,29.9,18.4,71.1,0.0,11
2018-11-29,1,22.8,29.0,18.3,74.5,0.6,11
2019-02-28,1,27.4,32.3,24.0,74.9,11.6,2
2019-03-14,1,28.0,33.7,24.1,67.4,0.6,3
2019-04-04,1,27.8,34.7,23.2,61.2,0.0,4
2019-05-23,1,26.0,33.0,21.3,69.0,2.5,5
2019-05-30,1,24.9,31.9,20.3,68.1,0.0,5
2019-06-20,1,24.4,31.5,19.6,66.9,0.0,6
2019-08-01,1,21.8,28.8,17.1,70.6,0.0,8
2019-08-22,1,20.9,28.1,16.2,70.9,0.3,8
2019-10-24,1,22.3,30.2,17.4,67.8,0.0,10
2020-02-27,1,28.8,35.8,24.4,62.3,0.1,2
2020-03-05,1,28.3,34.7,24.1,65.5,0.3,3
2020-03-12,1,28.9,35.7,24.4,62.6,2.5,3
2020-04-02,1,28.7,36.1,23.9,59.3,0.0,4
2020-05-21,1,26.1,33.4,21.4,66.2,0.3,5
2020-05-28,1,24.9,32.2,19.8,66.3,0.0,5
2020-06-11,1,23.8,30.5,19.3,69.7,1.7,6
2020-07-09,1,22.2,29.4,17.1,66.1,0.0,7
2020-08-13,1,20.8,29.2,15.0,67.7,0.0,8
2020-08-20,1,21.1,28.9,16.0,68.8,0.0,8
2020-10-15,2,22.5,30.9,17.3,67.0,0.9,10
2020-10-29,1,23.1,31.4,17.8,66.3,0.0,10
2020-11-05,2,23.1,31.7,17.9,67.2,0.0,11
2020-11-26,1,22.5,29.4,17.8,67.2,1.9,11
2021-01-14,1,25.9,32.6,21.3,64.6,13.1,1
2021-01-21,1,26.0,32.5,21.5,67.3,1.7,1
2021-02-04,2,27.1,34.3,21.8,60.3,2.1,2
2021-02-18,1,27.7,35.2,22.3,61.6,0.0,2
2021-03-04,1,26.2,31.7,23.1,77.2,45.4,3
2021-03-11,1,25.9,30.6,22.7,79.1,20.1,3
2021-03-18,2,26.2,31.6,22.2,73.5,9.7,3
2021-03-25,2,26.7,33.0,21.9,66.3,0.0,3
2021-04-01,2,27.1,33.7,22.5,62.8,1.4,4
2021-04-08,4,27.0,34.2,22.4,65.4,1.0,4
2021-04-15,2,26.6,33.9,21.7,62.5,1.6,4
2021-04-22,3,26.3,34.2,20.9,62.3,0.0,4
2021-04-29,1,25.1,32.6,20.1,63.5,0.9,4
2021-05-06,9,25.0,32.1,20.4,64.0,2.7,5
2021-05-13,9,23.9,31.7,18.7,65.9,2.6,5
2021-05-20,7,23.4,30.0,18.9,70.6,1.7,5
2021-05-27,9,23.4,30.1,18.9,71.5,0.0,5
2021-06-03,9,23.0,29.6,18.8,71.6,0.0,6
2021-06-10,4,22.6,28.6,18.5,74.1,4.4,6
2021-06-17,6,23.2,29.8,18.8,70.5,0.0,6
2021-06-24,7,22.4,28.9,18.1,71.4,5.4,6
2021-07-01,3,22.4,29.1,17.8,70.5,0.0,7
2021-07-08,6,21.6,28.2,16.9,71.6,0.0,7
2021-07-15,4,22.5,29.1,17.9,71.0,5.7,7
2021-07-22,6,21.9,28.5,17.6,73.2,0.8,7
2021-07-29,5,22.5,29.2,18.5,71.5,0.0,7
2021-08-05,5,21.8,28.8,17.0,72.3,0.0,8
2021-08-12,12,21.8,28.6,17.2,70.2,0.5,8
2021-08-19,8,22.1,28.9,17.6,70.1,0.0,8
2021-08-26,6,21.8,29.0,17.0,69.5,0.0,8
2021-09-02,3,21.5,28.5,16.9,71.5,2.1,9
2021-09-09,7,21.7,29.0,17.1,69.7,0.8,9
2021-09-16,5,21.7,29.2,16.9,68.4,0.0,9
2021-09-23,4,21.8,29.6,16.8,67.6,0.0,9
2021-09-30,5,22.4,30.6,17.1,66.8,0.0,9
2021-10-07,3,22.3,29.8,17.4,68.2,0.6,10
2021-10-14,1,21.5,28.5,17.0,70.4,0.4,10
2021-10-21,1,21.5,28.6,17.1,75.1,3.8,10
2021-10-28,3,22.2,29.9,16.9,68.0,0.3,10
2021-11-04,6,22.4,31.0,17.4,66.1,0.0,11
2021-11-11,3,22.0,29.4,17.4,68.4,0.0,11
2021-11-18,3,22.4,30.3,17.5,67.6,0.0,11
2021-11-25,4,22.3,29.2,18.1,71.4,0.9,11
2021-12-02,3,23.5,30.9,18.8,68.3,0.0,12
2021-12-09,3,23.9,30.8,19.6,69.8,0.5,12
2021-12-23,2,24.2,32.4,18.9,67.3,2.1,12
2021-12-30,6,24.4,32.5,19.1,67.0,0.0,12
2022-01-06,9,25.3,33.4,20.0,63.9,0.0,1
2022-01-13,6,25.5,32.5,20.7,65.7,0.2,1
2022-01-20,3,26.5,33.9,21.6,64.1,0.0,1
2022-01-27,3,26.6,33.3,22.2,63.3,0.0,1
2022-02-03,5,26.6,33.6,21.7,60.4,0.0,2
2022-02-10,11,26.2,33.1,21.7,60.7,5.3,2
2022-02-17,17,27.2,34.3,22.6,57.7,0.1,2
2022-02-24,20,26.9,33.4,22.3,60.0,3.3,2
2022-03-03,22,26.1,32.2,22.4,72.7,17.5,3
2022-03-10,27,27.9,35.4,23.3,65.1,0.0,3
2022-03-17,39,27.7,34.6,22.7,64.7,2.1,3
2022-03-24,54,26.5,33.3,22.0,66.4,3.0,3
2022-03-31,53,26.2,32.6,21.9,70.8,14.2,3
2022-04-07,67,26.2,33.9,21.4,65.9,2.8,4
2022-04-14,77,24.8,31.9,20.1,69.5,0.5,4
2022-04-21,75,24.1,30.9,19.8,72.4,2.3,4
2022-04-28,71,24.0,31.4,19.2,67.9,0.9,4
2022-05-05,81,24.2,31.9,18.9,66.2,1.2,5
2022-05-12,92,23.3,30.7,18.2,65.8,0.2,5
2022-05-19,78,23.7,30.8,18.6,66.7,2.7,5
2022-05-26,66,22.1,29.6,17.2,69.0,0.0,5
2022-06-02,56,22.3,29.6,17.5,65.4,0.2,6
2022-06-09,56,22.1,28.5,17.9,69.6,0.4,6
2022-06-16,29,20.7,27.9,15.9,70.1,0.0,6
2022-06-23,36,21.0,28.1,16.5,68.6,1.2,6
2022-06-30,23,20.9,28.2,16.0,69.8,0.0,6
2022-07-07,18,21.0,28.0,16.1,69.9,0.1,7
2022-07-14,11,20.9,27.7,16.5,70.2,0.0,7
2022-07-21,7,20.9,28.0,16.4,70.3,0.0,7
2022-07-28,1,21.2,28.6,16.3,70.9,0.0,7
2022-08-04,7,21.1,28.1,16.6,70.3,6.6,8
2022-08-11,2,21.3,28.9,16.2,68.7,0.5,8
2022-08-18,3,20.9,28.8,15.9,69.1,0.0,8
2022-08-25,4,20.8,28.7,15.7,70.4,0.6,8
2022-09-01,2,20.9,28.6,15.6,68.2,0.0,9
2022-09-08,1,21.1,28.9,16.3,68.6,0.4,9
2022-09-15,5,21.4,28.8,16.4,68.0,0.0,9
2022-09-22,3,21.4,29.0,16.5,67.1,0.5,9
2022-09-29,1,21.2,29.1,15.9,66.7,0.3,9
2022-10-13,2,21.5,30.0,15.9,66.0,4.2,10
2022-10-20,4,20.9,28.4,16.3,68.7,0.3,10
2022-10-27,7,21.3,29.2,16.4,67.6,0.5,10
2022-11-03,8,20.9,29.2,15.4,68.3,0.0,11
2022-11-10,2,21.5,29.5,16.6,69.1,0.0,11
2022-11-17,5,21.9,29.7,17.0,68.5,2.6,11
2022-11-24,4,22.8,31.0,17.7,66.9,0.0,11
2022-12-01,3,23.7,31.7,18.9,68.4,0.2,12
2022-12-08,4,23.4,31.2,18.1,66.7,0.0,12
2022-12-15,4,24.8,32.0,20.3,66.6,1.8,12
2022-12-22,5,25.8,33.3,21.2,66.1,0.0,12
2022-12-29,6,25.9,32.8,21.4,64.2,8.1,12
2023-01-05,66,25.1,32.7,19.9,64.6,0.0,1
2023-01-12,25,25.8,33.5,21.2,59.7,6.2,1
2023-01-19,31,26.3,33.8,21.0,59.8,9.7,1
2023-01-26,22,27.2,34.7,22.2,60.6,0.0,1
2023-02-02,30,28.0,35.1,23.4,59.3,0.4,2
2023-02-09,44,28.4,35.5,23.3,57.7,1.2,2
2023-02-16,46,28.8,35.8,24.6,59.4,2.1,2
2023-02-23,57,27.3,33.3,23.4,71.5,56.0,2
2023-03-02,88,27.7,33.8,23.7,67.5,0.0,3
2023-03-09,77,26.0,31.7,23.2,80.1,100.9,3
2023-03-16,171,26.4,30.8,23.3,82.2,40.5,3
2023-03-23,273,26.8,31.4,23.7,80.4,29.1,3
2023-03-30,312,26.5,30.8,23.7,81.8,54.9,3
2023-04-06,252,25.8,29.5,23.5,87.7,135.5,4
2023-04-13,395,26.4,30.0,24.0,85.4,46.7,4
2023-04-20,367,26.1,30.0,23.7,84.7,66.9,4
2023-04-27,476,25.8,30.0,22.8,83.4,54.1,4
2023-05-04,709,26.2,30.8,22.9,78.3,10.8,5
2023-05-11,1141,26.5,31.5,22.7,75.0,0.0,5
2023-05-18,2041,26.2,31.3,22.7,73.6,0.4,5
2023-05-25,1920,26.1,31.0,22.4,73.6,6.2,5
2023-06-01,1646,26.0,30.9,22.4,72.5,0.8,6
2023-06-08,1450,25.9,31.4,22.0,70.9,0.0,6
2023-06-15,1047,25.5,31.2,20.9,69.9,0.0,6
2023-06-22,867,24.7,30.8,20.2,71.2,0.0,6
2023-06-29,479,24.7,30.8,20.1,70.8,0.0,6
2023-07-06,463,24.8,30.4,20.5,71.2,0.9,7
2023-07-13,347,24.7,30.8,20.6,72.7,1.0,7
2023-07-20,289,24.6,31.1,19.8,70.7,0.0,7
2023-07-27,202,24.8,31.2,20.1,70.2,0.0,7
2023-08-03,171,24.7,31.2,20.0,70.5,0.0,8
2023-08-10,127,24.8,31.3,20.1,70.0,0.0,8
2023-08-17,94,24.8,31.1,20.2,69.7,0.9,8
2023-08-24,74,24.8,31.8,20.1,69.9,0.0,8
2023-08-31,55,24.4,31.1,19.8,70.2,0.0,8
2023-09-07,36,24.2,30.8,19.5,70.1,0.0,9
2023-09-14,35,24.3,31.5,19.5,68.7,0.0,9
2023-09-21,36,24.5,31.3,19.9,69.1,0.0,9
2023-09-28,34,24.7,32.1,20.0,68.0,0.0,9
2023-10-05,23,24.9,31.9,20.4,69.0,0.9,10
2023-10-12,33,24.6,32.1,19.9,70.0,21.6,10
2023-10-19,29,25.0,32.2,20.2,67.7,0.1,10
2023-10-26,23,24.8,31.4,20.8,70.6,4.0,10
2023-11-02,18,24.5,31.9,19.5,68.4,0.2,11
2023-11-09,25,24.1,31.2,19.4,67.8,0.0,11
2023-11-16,31,24.5,31.2,20.2,71.4,4.9,11
2023-11-23,33,24.9,32.4,19.9,67.7,0.0,11
2023-11-30,26,25.0,32.0,20.2,68.2,0.2,11
2023-12-07,16,25.3,32.1,20.7,67.6,0.0,12
2023-12-14,22,25.8,33.1,21.1,68.0,0.7,12
2023-12-21,9,26.2,33.5,21.7,68.3,0.0,12
2023-12-28,16,25.0,30.7,21.7,77.1,29.0,12
2024-01-04,49,26.1,32.3,22.1,71.7,0.0,1
2024-01-11,44,26.5,32.8,22.5,70.6,4.0,1
2024-01-18,53,27.6,34.1,23.5,68.3,0.2,1
2024-01-25,58,28.5,35.4,24.0,66.3,0.0,1
2024-02-01,62,28.4,34.3,24.8,68.4,1.7,2
2024-02-08,77,28.3,33.9,25.0,72.2,1.2,2
2024-02-15,117,29.2,35.6,25.1,65.5,2.2,2
2024-02-22,195,28.7,35.3,25.0,70.4,29.6,2
2024-02-29,291,28.7,35.3,24.0,62.2,3.5,2
2024-03-07,262,28.9,35.4,24.2,59.6,0.0,3
2024-03-14,286,29.4,36.3,24.6,59.6,2.6,3
2024-03-21,276,29.2,36.1,24.9,61.6,1.3,3
2024-03-28,309,28.4,35.9,22.9,62.0,1.8,3
2024-04-04,373,27.9,35.0,23.3,60.3,0.1,4
2024-04-11,373,28.3,35.4,23.2,60.3,0.0,4
2024-04-18,341,27.7,34.6,23.1,61.1,0.1,4
2024-04-25,362,27.1,33.6,22.9,63.3,8.7,4
2024-05-02,269,26.0,33.0,21.6,67.4,1.0,5
2024-05-09,206,25.5,32.4,20.7,65.2,7.8,5
2024-05-16,202,24.9,31.7,20.2,67.1,0.8,5
2024-05-23,123,24.0,31.1,19.3,67.9,5.2,5
2024-05-30,112,23.3,30.2,18.3,68.5,0.0,5
2024-06-06,71,22.8,29.9,17.7,68.9,0.0,6
2024-06-13,96,23.1,29.2,18.5,69.8,0.0,6
2024-06-20,103,22.3,28.4,18.0,71.4,4.0,6
2024-06-27,39,22.5,29.4,17.6,69.7,0.0,6
2024-07-04,30,22.4,29.2,18.0,70.6,0.0,7
2024-07-11,29,21.9,28.5,17.5,71.1,0.0,7
2024-07-18,15,21.2,28.4,16.0,69.6,0.2,7
2024-07-25,16,21.1,28.5,16.0,70.0,0.2,7
2024-08-01,13,21.6,28.8,16.4,71.6,0.4,8
2024-08-08,10,21.3,28.0,16.7,70.9,0.0,8
2024-08-15,15,21.3,28.4,16.0,69.7,0.0,8
2024-08-22,13,21.4,28.6,16.6,69.8,0.3,8
2024-08-29,11,21.6,29.0,16.9,69.7,0.9,8
2024-09-05,13,21.0,28.7,15.8,69.2,0.0,9
2024-09-12,10,21.9,29.8,16.6,68.3,0.0,9
2024-09-19,18,21.8,30.0,16.7,69.0,1.2,9
2024-09-26,10,21.9,29.0,17.5,70.5,5.4,9
2024-10-03,26,22.8,30.6,18.1,70.3,0.9,10
2024-10-10,16,22.7,29.7,18.1,68.9,0.0,10
2024-10-17,11,22.5,30.1,17.5,69.2,0.1,10
2024-10-24,18,22.7,30.3,17.9,68.4,0.0,10
2024-10-31,20,22.6,30.0,17.8,68.2,0.8,10
2024-11-07,20,22.3,29.5,18.3,72.1,3.7,11
2024-11-14,17,21.6,29.9,16.4,71.5,0.0,11
2024-11-21,22,22.6,30.2,17.8,69.5,1.1,11
2024-11-28,24,24.1,31.5,19.8,68.6,0.0,11
2024-12-05,17,25.0,32.6,20.1,66.9,3.0,12
2024-12-12,16,25.2,32.8,20.1,64.7,0.0,12
2024-12-19,6,24.9,32.3,19.6,66.0,1.1,12
2024-12-26,7,25.1,32.3,21.0,67.7,5.2,12
2025-01-09,9,24.6,30.4,20.9,74.7,11.3,1
2025-01-16,9,25.4,31.6,21.4,72.0,12.3,1
2025-01-23,11,26.4,33.6,21.4,64.2,0.4,1
2025-01-30,15,26.0,33.9,20.3,63.3,0.0,1
2025-02-06,23,27.1,34.4,22.3,62.5,1.2,2
2025-02-13,20,27.3,34.3,23.1,65.6,11.5,2
2025-02-20,26,27.2,32.7,23.7,73.6,4.9,2
2025-02-27,19,27.3,32.8,23.8,71.0,17.6,2
2025-03-06,10,26.6,31.7,23.5,79.5,25.2,3
2025-03-13,18,27.6,32.8,24.1,74.9,0.8,3
2025-03-20,14,27.1,32.6,23.2,68.1,2.1,3
2025-03-27,12,27.0,33.2,22.9,66.7,0.3,3
2025-04-03,18,27.3,33.3,23.4,69.6,25.5,4
2025-04-10,17,25.4,30.3,22.3,84.4,15.1,4
2025-04-17,19,25.0,29.9,21.5,80.7,1.2,4
2025-04-24,6,24.8,30.6,20.8,73.5,0.0,4
2025-05-01,11,25.7,31.6,21.4,68.7,0.1,5
2025-05-08,9,24.0,29.6,20.3,74.8,2.7,5
2025-05-15,8,24.4,30.7,19.9,71.7,3.7,5
2025-05-22,6,24.7,31.9,20.3,68.6,0.0,5
2025-05-29,7,24.7,31.9,20.3,68.6,0.0,5
2025-06-05,9,24.7,31.9,20.3,68.6,0.0,6
2025-06-12,9,24.7,31.9,20.3,68.6,0.0,6
2025-06-19,4,24.7,31.9,20.3,68.6,0.0,6
2025-06-26,11,24.7,31.9,20.3,68.6,0.0,6
2025-07-03,5,24.7,31.9,20.3,68.6,0.0,7
2025-07-10,5,24.7,31.9,20.3,68.6,0.0,7
2025-07-17,5,24.7,31.9,20.3,68.6,0.0,7
2025-07-24,7,24.7,31.9,20.3,68.6,0.0,7
2025-07-31,8,24.7,31.9,20.3,68.6,0.0,7
2025-08-07,3,24.7,31.9,20.3,68.6,0.0,8
2025-08-14,6,24.7,31.9,20.3,68.6,0.0,8
2025-08-21,4,24.7,31.9,20.3,68.6,0.0,8
